tag_id;taggable_id;taggable_type
65;240;Proposal
69;240;Proposal
85;241;Proposal
86;241;Proposal
87;241;Proposal
88;241;Proposal
89;241;Proposal
115;242;Proposal
145;242;Proposal
116;242;Proposal
5;242;Proposal
93;242;Proposal
20;243;Proposal
60;243;Proposal
110;243;Proposal
130;243;Proposal
111;243;Proposal
130;244;Proposal
125;244;Proposal
90;244;Proposal
5;244;Proposal
35;244;Proposal
5;245;Proposal
165;245;Proposal
70;245;Proposal
0;245;Proposal
85;245;Proposal
65;246;Proposal
175;246;Proposal
23;246;Proposal
11;246;Proposal
67;246;Proposal
10;247;Proposal
140;247;Proposal
141;247;Proposal
65;247;Proposal
142;247;Proposal
10;248;Proposal
0;248;Proposal
90;248;Proposal
50;248;Proposal
105;248;Proposal
105;249;Proposal
175;249;Proposal
11;249;Proposal
65;249;Proposal
61;249;Proposal
105;250;Proposal
55;250;Proposal
5;250;Proposal
65;250;Proposal
61;250;Proposal
120;251;Proposal
70;251;Proposal
150;251;Proposal
60;251;Proposal
175;251;Proposal
5;252;Proposal
65;252;Proposal
23;252;Proposal
4;252;Proposal
40;252;Proposal
0;253;Proposal
65;253;Proposal
23;253;Proposal
67;253;Proposal
69;253;Proposal
65;254;Proposal
23;254;Proposal
67;254;Proposal
68;254;Proposal
69;254;Proposal
145;255;Proposal
175;255;Proposal
100;255;Proposal
91;255;Proposal
25;255;Proposal
20;256;Proposal
120;256;Proposal
69;256;Proposal
4;256;Proposal
75;256;Proposal
145;257;Proposal
91;257;Proposal
147;257;Proposal
148;257;Proposal
149;257;Proposal
110;258;Proposal
130;258;Proposal
111;258;Proposal
105;258;Proposal
0;258;Proposal
75;259;Proposal
130;259;Proposal
76;259;Proposal
74;259;Proposal
35;259;Proposal
105;260;Proposal
65;260;Proposal
61;260;Proposal
91;260;Proposal
70;260;Proposal
85;261;Proposal
140;261;Proposal
86;261;Proposal
87;261;Proposal
141;261;Proposal
195;262;Proposal
70;262;Proposal
60;262;Proposal
196;262;Proposal
91;262;Proposal
20;263;Proposal
160;263;Proposal
110;263;Proposal
130;263;Proposal
75;263;Proposal
175;264;Proposal
11;264;Proposal
65;264;Proposal
105;264;Proposal
15;264;Proposal
4;265;Proposal
181;265;Proposal
140;265;Proposal
141;265;Proposal
143;265;Proposal
65;266;Proposal
23;266;Proposal
67;266;Proposal
68;266;Proposal
69;266;Proposal
90;267;Proposal
145;267;Proposal
91;267;Proposal
125;267;Proposal
105;267;Proposal
65;268;Proposal
23;268;Proposal
67;268;Proposal
68;268;Proposal
69;268;Proposal
120;269;Proposal
105;269;Proposal
0;269;Proposal
110;269;Proposal
65;269;Proposal
40;270;Proposal
105;270;Proposal
35;270;Proposal
36;270;Proposal
5;270;Proposal
65;271;Proposal
23;271;Proposal
67;271;Proposal
68;271;Proposal
69;271;Proposal
95;273;Proposal
70;273;Proposal
15;273;Proposal
65;273;Proposal
23;273;Proposal
190;274;Proposal
187;274;Proposal
192;274;Proposal
193;274;Proposal
194;274;Proposal
4;275;Proposal
181;275;Proposal
140;275;Proposal
141;275;Proposal
143;275;Proposal
185;276;Proposal
40;276;Proposal
20;276;Proposal
190;276;Proposal
5;276;Proposal
